,Product_name,Sale price,Actual Price,Ratting,Person Ratting,Offer,No of Ratting,No of Reviews
172,"APPLE iPhone 13 Pro (Graphite, 1 TB)","₹1,69,900",Same Price,4.6,"1,286 Ratings & 110 Reviews",No offer this product,"1,286", 110 Reviews
173,"APPLE iPhone XR (White, 128 GB)","₹44,999","₹52,900",4.6,"1,00,548 Ratings & 8,570 Reviews",14% off,"1,00,548"," 8,570 Reviews"
174,"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)","₹44,999","₹52,900",4.6,"1,00,548 Ratings & 8,570 Reviews",14% off,"1,00,548"," 8,570 Reviews"
175,"APPLE iPhone 6s (Rose Gold, 32 GB)","₹29,900","₹29,990",4.5,"93,041 Ratings & 9,245 Reviews",No offer this product,"93,041"," 9,245 Reviews"
176,"APPLE iPhone 12 Pro Max (Gold, 256 GB)","₹1,14,990","₹1,29,900",4.6,"1,253 Ratings & 101 Reviews",11% off,"1,253", 101 Reviews
177,"APPLE iPhone 13 Pro (Silver, 512 GB)","₹1,49,900",Same Price,4.6,"1,286 Ratings & 110 Reviews",No offer this product,"1,286", 110 Reviews
178,"APPLE iPhone 11 Pro (Midnight Green, 512 GB)","₹1,21,990","₹1,40,300",4.6,"8,653 Ratings & 630 Reviews",13% off,"8,653", 630 Reviews
179,"APPLE iPhone 7 (Gold, 32 GB)","₹24,999","₹31,500",4.5,"95,048 Ratings & 9,197 Reviews",20% off,"95,048"," 9,197 Reviews"
180,"APPLE iPhone 12 (Purple, 128 GB)","₹53,999","₹64,900",4.6,"1,84,694 Ratings & 12,596 Reviews",16% off,"1,84,694"," 12,596 Reviews"
181,"APPLE iPhone 12 (Green, 64 GB)","₹48,999","₹59,900",4.6,"1,84,694 Ratings & 12,596 Reviews",18% off,"1,84,694"," 12,596 Reviews"
182,"APPLE iPhone 12 (White, 64 GB)","₹48,999","₹59,900",4.6,"1,84,694 Ratings & 12,596 Reviews",18% off,"1,84,694"," 12,596 Reviews"
183,"APPLE iPhone 12 (Green, 128 GB)","₹53,999","₹64,900",4.6,"1,84,694 Ratings & 12,596 Reviews",16% off,"1,84,694"," 12,596 Reviews"
184,"APPLE iPhone 14 Pro (Silver, 256 GB)","₹1,39,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
185,"APPLE iPhone 11 (Green, 128 GB)","₹44,999","₹48,900",4.6,"1,69,249 Ratings & 10,056 Reviews",7% off,"1,69,249"," 10,056 Reviews"
186,"APPLE iPhone 12 Mini (Green, 128 GB)","₹48,999","₹64,900",4.5,"1,18,327 Ratings & 9,450 Reviews",24% off,"1,18,327"," 9,450 Reviews"
187,"APPLE iPhone SE (Black, 64 GB)","₹28,990","₹39,900",4.5,"1,53,514 Ratings & 12,048 Reviews",27% off,"1,53,514"," 12,048 Reviews"
188,"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹58,990","₹64,900",4.5,"2,909 Ratings & 251 Reviews",9% off,"2,909", 251 Reviews
189,"APPLE iPhone 14 Pro (Gold, 128 GB)","₹1,29,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
190,"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹68,990","₹74,900",4.5,"2,909 Ratings & 251 Reviews",7% off,"2,909", 251 Reviews
191,"APPLE iPhone 13 Mini (Blue, 256 GB)","₹68,990","₹74,900",4.5,"2,909 Ratings & 251 Reviews",7% off,"2,909", 251 Reviews
192,"APPLE iPhone 12 Mini (Purple, 64 GB)","₹43,999","₹59,900",4.5,"1,18,327 Ratings & 9,450 Reviews",26% off,"1,18,327"," 9,450 Reviews"
193,"APPLE iPhone 14 Pro (Space Black, 256 GB)","₹1,39,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
194,"APPLE iPhone SE (White, 64 GB)","₹28,990","₹39,900",4.5,"1,53,514 Ratings & 12,048 Reviews",27% off,"1,53,514"," 12,048 Reviews"
195,"APPLE iPhone 14 Pro (Gold, 256 GB)","₹1,39,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
196,"APPLE iPhone SE (Red, 64 GB)","₹28,990","₹39,900",4.5,"1,53,514 Ratings & 12,048 Reviews",27% off,"1,53,514"," 12,048 Reviews"
197,"APPLE iPhone 14 Pro (Space Black, 512 GB)","₹1,59,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
198,"APPLE iPhone SE (White, 128 GB)","₹34,990","₹44,900",4.5,"1,53,514 Ratings & 12,048 Reviews",22% off,"1,53,514"," 12,048 Reviews"
199,"APPLE iPhone 12 (Red, 256 GB)","₹61,999","₹74,900",4.6,"1,84,694 Ratings & 12,596 Reviews",17% off,"1,84,694"," 12,596 Reviews"
